Feedback,Campaign
"Hi there, thank you for sharing your music with us, we're digging the vibe on this, the song got a tuneful rhythm flow and quality. However though, considering our playlists not 100 % fitting the mood im trying to set, im afraid... , but dont discourage since this is just a matter of taste, we hope you understand. Thanks for the listen and good luck with the release.",Obsessed
"Hi Aspen! This was really close, I wanted just a tad more impact on the choruses when the house beat came in and felt a little less grabbed by the halftime trap style chorus. Kindly passing here but hope to hear more :)",Obsessed
"Hey Aspen Jade! Glad to hear your music.The vibe of this song is really resonating with us and we're enjoying the tuneful rhythm. Regrettably, male vocals didn't captivate us enough for our playlists. However, taste varies from person to person, so please don't feel disheartened. Thank you for allowing us to listen and best of luck with your release!",Obsessed
"Hi friend! Thanks for sharing with Social Rave your track. This is a great track with beautiful vocals. Perhaps the drop lacks a bit more power to better complement the rest of the track. Keep working on it. Send us more of your music, and we'll be glad to hear it. Have a nice day Aspen Jade.",Obsessed
"Hey, thanks for sending your submission. I really like the overall vibes but i am not such a big fan of the vocals. I wish you good luck and greetings",Obsessed
"Hello Aspen Jade, thank you so much for sending us your composition. It is a nice track but, honestly, It is very far from our share range and preferences. As a website focused on clubbing and on the contemporary electronic underground scene, we're looking for something different to share, something dancefloor-oriented with a strong electro, techno or house background and this is not exactly a match. I'm sorry. Thank you again, all the best and good luck.",Obsessed
"Hi Aspen, thanks for submitting Obsessed. Cool track. LOVE the production. A little to dance for the Pop Polaroid Playlist, so we will not be adding this one. Wishing you the best of luck though, it's a great track.",Obsessed
"https://open.spotify.com/playlist/0ha0eDZwadHA4wTCKyN5VQ?si=b067733322fe45fa If you liked our list and placement and want to share the news on Instragram, please tag @cosmicleafofficial. Thanks",Obsessed
"Hey Aspen, Love this and can totally hear the sunset drive vibes for sure. Cool stuff and really well produced. I'm afraid that it's just not a match for the introspective, sad, cinematic sounds of our page (think Sufjan, Bon Iver, etc). Sorry! Thanks for sharing though and all the best!",Obsessed
"hey there! It's truly a fantastic piece of work, exceptionally well-produced, and showcases your outstanding ability of creating great chill & deep house music 🎵 Regrettably, your type featured more of commercial/mainstream style, than some instrumental melodic/deep house tunes (artists examples: MALIAN, Sultan + Shepard, Ben Böhmer) we're looking for our main list. no offense, just our honest tkae. we want to say that your dedication to this style is evident, and we're excited to see how your sound evolves in the future!",Obsessed
"First of all we want to thank you for the opportunity to give feedback on your music. The first aspect of the track that caught my attention was the voice you have. It sounds super professional and very well worked, apart from the talent that you have. On top of that, at the beginning I noticed an effect in your voice that in my opinion gives it a special touch and a very noticeable effect. The song transmits a lot of feeling and the combination of the very professional voice, the stylish instrumental and the very proffunate lyrics manages to send a very clear message. I really like the chorus, I think the positive thing is that many people who are in that phase of falling in love can identify with the message of this very obsessed with you . Finally I have decided not to share it on my social networks as I think they do not share the same style. In any case I wish you the best in your musical career and good luck for the future!",Obsessed
You've been refunded 4 Grooviz!,Obsessed
You've been refunded 2 Grooviz!,Obsessed
https://aqui-musica.com/woman-on-top-las-voces-de-febrero/,Obsessed
"Hey, added here, please share us in your socials! https://open.spotify.com/playlist/6bCEmAJv48yWdbaQKJ8kwo?si=55a84b3ff2934712",Obsessed
Hey I premiered the new song on the show. Here is the playlist on instagram : https://www.instagram.com/p/C2h8IQnINc9/ You can listen back to the show here : https://hearthis.at/ejazz-mix/ejazz-mixshow-25-1-2024/,Obsessed
Shared with my team! Hope you hear back. Best of luck!,Obsessed
"The guitars, lush vocals, and the laid-back, groovy beat are a winning combination that makes me want to dance on my bed! Excitedly looking forward to hearing more of your work!",Obsessed
"""Obsessed"" by Aspen Jade is a compelling composition that delves into the theme of fixation with a unique musical flair. While the song showcases notable strengths, there are certain elements that, when refined, could amplify its overall impact. The production quality of the track is commendable, offering a well-crafted sonic backdrop that suits the theme. However, there's an opportunity to explore a more expansive dynamic range. Introducing moments of subtle build-ups or drops could add emotional depth, creating a more engaging listening experience and emphasizing the intensity of the fixation portrayed in the song. Lyrically, ""Obsessed"" presents an intriguing narrative, but there's room for greater lyrical precision. Some verses could benefit from more vivid imagery or metaphorical language to intensify the emotional connection. Strengthening the lyrical depth could enhance the storytelling aspect of the song, allowing listeners to immerse themselves more fully in the theme of obsession. Aspen Jade's vocal delivery is expressive and well-suited to the song's mood. However, there are moments where vocal phrasing could be further refined for a smoother flow. Addressing these nuances through careful vocal control or post-production adjustments could enhance the overall cohesion of the vocal performance. The song's structure is well-conceived, guiding the listener through the emotional landscape. Yet, there's an opportunity to experiment with arrangement to maintain interest. Introducing subtle variations or unexpected shifts in instrumentation could add an extra layer of intrigue, contributing to the overall complexity of the composition. In conclusion, ""Obsessed"" by Aspen Jade is a captivating piece with a distinctive theme. By exploring a more expansive dynamic range, refining lyrical precision, addressing vocal phrasing, and experimenting with arrangement, the song could reach new artistic heights. This is the reason why I decided not to feature the song. Nevertheless, we appreciate your submission and encourage continued exploration and refinement in your musical endeavors.",Obsessed
We added your lovely song to our playlists: https://open.spotify.com/playlist/2r2wTmosYvM4OKsoJRSUxy?si=wicfvM__QRasO5XzI6X-4A&pi=e-GEd5nDCkRlKt https://open.spotify.com/playlist/0sPq9smUByebMg5SYKMokR?si=F2kHBMJuQQ6t8Wnu8n5yCw&pi=e-tKRqVKoZQKWx Keep up the amazing work and definitely keep sending lovely tunes,Obsessed
We added your lovely song to our playlists: https://open.spotify.com/playlist/2r2wTmosYvM4OKsoJRSUxy?si=wicfvM__QRasO5XzI6X-4A&pi=e-GEd5nDCkRlKt https://open.spotify.com/playlist/0sPq9smUByebMg5SYKMokR?si=F2kHBMJuQQ6t8Wnu8n5yCw&pi=e-tKRqVKoZQKWx Keep up the amazing work and definitely keep sending lovely tunes!,Obsessed
"Vybz fm Your song has been added to the Vybz FM system and will be broadcasted on VybzFM.com for at least three months. Although songs are played randomly and not on a fixed schedule, rest assured that your music will be featured on the online platform at least once a day.",Obsessed
https://open.spotify.com/playlist/01IRnMRgAgG6N129ZH7z7F?si=imnzn-lwQ32oBYvpv9pfrg&pi=e-WQkQ3R_dS-6i,Obsessed
"hi there, really beautiful voice and lovely atmospheres and chords. love the part where the other voice comes in as well. it's a bit too commercial/vocal-focused for my playlist i'm afraid, as my playlist is aimed at slightly deeper/more melodic house music. really enjoyed this though, your voice would work great for more housey stuff as well i think! thanks a lot for sharing this one. good luck with the release and keep up the good work! :)",Obsessed
"Hey Aspen Jade! I listened to your song and I enjoyed the main chords, but due to the vocals I don´t feel it´s a match for my playlist. Hope you understand!",Obsessed
"Hey! The verses are cool, got some interesting stuff going on in the mix. But when the chorus kicks in, it feels a bit too upbeat for the chill vibes I'm vibing with in my playlist. Not a perfect match this time, but I'm curious to catch more of your tunes!",Obsessed
"Hi there ! It's a nice piece, great production and performance, but it doesn't quite match the color of my playlist at the moment, so I will have to pass. Thanks for the share and good luck with this release !",Obsessed
"For me, I'd like to hear a stronger chorus and hook that we can sink our teeth in as the listener. Right now, it felt a little too generic when compared to other submissions in this genre this week. Good potential though! You're heading in the right direction.",Obsessed
You've been refunded 2 Grooviz!,Obsessed
You've been refunded 2 Grooviz!,Obsessed
https://aqui-musica.com/woman-on-top-las-voces-de-febrero/,Obsessed
"Hey, added here, please share us in your socials! https://open.spotify.com/playlist/6bCEmAJv48yWdbaQKJ8kwo?si=55a84b3ff2934712",Obsessed
Hey I premiered the new song on the show. Here is the playlist on instagram : https://www.instagram.com/p/C2h8IQnINc9/ You can listen back to the show here : https://hearthis.at/ejazz-mix/ejazz-mixshow-25-1-2024/,Obsessed
Shared with my team! Hope you hear back. Best of luck!,Obsessed
"The guitars, lush vocals, and the laid-back, groovy beat are a winning combination that makes me want to dance on my bed! Excitedly looking forward to hearing more of your work!",Obsessed
"""Obsessed"" by Aspen Jade is a compelling composition that delves into the theme of fixation with a unique musical flair. While the song showcases notable strengths, there are certain elements that, when refined, could amplify its overall impact. The production quality of the track is commendable, offering a well-crafted sonic backdrop that suits the theme. However, there's an opportunity to explore a more expansive dynamic range. Introducing moments of subtle build-ups or drops could add emotional depth, creating a more engaging listening experience and emphasizing the intensity of the fixation portrayed in the song. Lyrically, ""Obsessed"" presents an intriguing narrative, but there's room for greater lyrical precision. Some verses could benefit from more vivid imagery or metaphorical language to intensify the emotional connection. Strengthening the lyrical depth could enhance the storytelling aspect of the song, allowing listeners to immerse themselves more fully in the theme of obsession. Aspen Jade's vocal delivery is expressive and well-suited to the song's mood. However, there are moments where vocal phrasing could be further refined for a smoother flow. Addressing these nuances through careful vocal control or post-production adjustments could enhance the overall cohesion of the vocal performance. The song's structure is well-conceived, guiding the listener through the emotional landscape. Yet, there's an opportunity to experiment with arrangement to maintain interest. Introducing subtle variations or unexpected shifts in instrumentation could add an extra layer of intrigue, contributing to the overall complexity of the composition. In conclusion, ""Obsessed"" by Aspen Jade is a captivating piece with a distinctive theme. By exploring a more expansive dynamic range, refining lyrical precision, addressing vocal phrasing, and experimenting with arrangement, the song could reach new artistic heights. This is the reason why I decided not to feature the song. Nevertheless, we appreciate your submission and encourage continued exploration and refinement in your musical endeavors.",Obsessed
We added your lovely song to our playlists: https://open.spotify.com/playlist/2r2wTmosYvM4OKsoJRSUxy?si=wicfvM__QRasO5XzI6X-4A&pi=e-GEd5nDCkRlKt https://open.spotify.com/playlist/0sPq9smUByebMg5SYKMokR?si=F2kHBMJuQQ6t8Wnu8n5yCw&pi=e-tKRqVKoZQKWx Keep up the amazing work and definitely keep sending lovely tunes,Obsessed
We added your lovely song to our playlists: https://open.spotify.com/playlist/2r2wTmosYvM4OKsoJRSUxy?si=wicfvM__QRasO5XzI6X-4A&pi=e-GEd5nDCkRlKt https://open.spotify.com/playlist/0sPq9smUByebMg5SYKMokR?si=F2kHBMJuQQ6t8Wnu8n5yCw&pi=e-tKRqVKoZQKWx Keep up the amazing work and definitely keep sending lovely tunes!,Obsessed
"Vybz fm Your song has been added to the Vybz FM system and will be broadcasted on VybzFM.com for at least three months. Although songs are played randomly and not on a fixed schedule, rest assured that your music will be featured on the online platform at least once a day.",Obsessed
https://open.spotify.com/playlist/01IRnMRgAgG6N129ZH7z7F?si=imnzn-lwQ32oBYvpv9pfrg&pi=e-WQkQ3R_dS-6i,Obsessed
"hi there, really beautiful voice and lovely atmospheres and chords. love the part where the other voice comes in as well. it's a bit too commercial/vocal-focused for my playlist i'm afraid, as my playlist is aimed at slightly deeper/more melodic house music. really enjoyed this though, your voice would work great for more housey stuff as well i think! thanks a lot for sharing this one. good luck with the release and keep up the good work! :)",Obsessed
"Hey Aspen Jade! I listened to your song and I enjoyed the main chords, but due to the vocals I don´t feel it´s a match for my playlist. Hope you understand!",Obsessed
"Hey! The verses are cool, got some interesting stuff going on in the mix. But when the chorus kicks in, it feels a bit too upbeat for the chill vibes I'm vibing with in my playlist. Not a perfect match this time, but I'm curious to catch more of your tunes!",Obsessed
"Hi there ! It's a nice piece, great production and performance, but it doesn't quite match the color of my playlist at the moment, so I will have to pass. Thanks for the share and good luck with this release !",Obsessed
"For me, I'd like to hear a stronger chorus and hook that we can sink our teeth in as the listener. Right now, it felt a little too generic when compared to other submissions in this genre this week. Good potential though! You're heading in the right direction.",Obsessed
You've been refunded 2 Grooviz!,Obsessed
You've been refunded 2 Grooviz!,Obsessed
